user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
S1C1020	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__NS-102;s__	N/A	N/A	N/A	N/A	N/A	GCF_009192765.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__NS-102;s__NS-102 sp009192765	77.64	0.32	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__NS-102;s__	taxonomic classification defined by topology and ANI	N/A	N/A	66.49	11	0.9606729256655019	N/A
S1C1030	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__NS-102;s__	N/A	N/A	N/A	N/A	N/A	GCF_009192765.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__NS-102;s__NS-102 sp009192765	82.99	0.7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__NS-102;s__	taxonomic classification defined by topology and ANI	N/A	GCF_003075435.1, s__NS-102 sp003075435, 95.0, 76.84, 0.22	50.31	11	0.976102943075645	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S1C1048	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__SHZI01;s__	N/A	N/A	N/A	N/A	N/A	GCA_009692345.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__SHZI01;s__SHZI01 sp009692345	77.66	0.31	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	96.25	11	0.9382897899372922	N/A
S1C10593	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Cryobacterium_B;s__	N/A	N/A	N/A	N/A	N/A	GCF_014200375.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Cryobacterium_B;s__Cryobacterium_B mesophilum	80.57	0.63	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Cryobacterium_B;s__	taxonomic classification defined by topology and ANI	N/A	GCF_012274275.1, s__Cryobacterium_B sp012274275, 95.0, 79.3, 0.37	46.02	11	0.985027528299845	N/A
S1C1065	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Hydrogenophaga;s__	N/A	N/A	N/A	N/A	N/A	GCF_003417535.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Hydrogenophaga;s__Hydrogenophaga borbori	92.48	0.84	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Hydrogenophaga;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000723405.1, s__Hydrogenophaga intermedia, 95.0, 90.26, 0.79; GCA_011772445.1, s__Hydrogenophaga sp011772445, 95.0, 90.16, 0.79; GCF_011388215.1, s__Hydrogenophaga sp011388215, 95.0, 87.48, 0.73; GCA_003599455.1, s__Hydrogenophaga sp003599455, 95.0, 85.02, 0.64; GCF_002127215.1, s__Hydrogenophaga sp002127215, 95.0, 84.29, 0.55; GCF_001571225.1, s__Hydrogenophaga palleronii, 95.0, 84.07, 0.66; GCA_013823485.1, s__Hydrogenophaga sp013823485, 95.0, 83.65, 0.58; GCF_005503365.1, s__Hydrogenophaga sp005503365, 95.0, 83.34, 0.67; GCF_001713375.1, s__Hydrogenophaga sp001713375, 95.0, 83.32, 0.65; GCF_001428625.1, s__Hydrogenophaga sp001428625, 95.0, 83.17, 0.64; GCF_001592285.1, s__Hydrogenophaga pseudoflava, 95.0, 83.04, 0.62; GCF_010104355.1, s__Hydrogenophaga sp010104355, 95.0, 83.01, 0.63; GCA_003241965.1, s__Hydrogenophaga sp003241965, 95.0, 82.95, 0.59; GCF_001592305.1, s__Hydrogenophaga taeniospiralis, 95.0, 82.91, 0.61; GCA_001770905.1, s__Hydrogenophaga sp001770905, 95.0, 82.9, 0.61; GCF_009859475.1, s__Hydrogenophaga sp009859475, 95.0, 82.81, 0.64; GCA_013823505.1, s__Hydrogenophaga sp013823505, 95.0, 82.8, 0.55; GCF_001571145.1, s__Hydrogenophaga flava, 95.0, 82.79, 0.61; GCA_013823655.1, s__Hydrogenophaga sp013823655, 95.0, 82.57, 0.52; GCA_003509765.1, s__Hydrogenophaga sp003509765, 95.0, 82.46, 0.57; GCA_006227825.1, s__Hydrogenophaga sp006227825, 95.0, 82.44, 0.57; GCA_011391495.1, s__Hydrogenophaga sp011391495, 95.0, 82.42, 0.5; GCF_002127265.1, s__Hydrogenophaga sp002127265, 95.0, 82.29, 0.64; GCA_002842215.1, s__Hydrogenophaga sp002842215, 95.0, 82.28, 0.6; GCF_002001205.1, s__Hydrogenophaga sp002001205, 95.0, 81.87, 0.58; GCA_002840835.1, s__Hydrogenophaga sp002840835, 95.0, 80.89, 0.52; GCA_011390835.1, s__Hydrogenophaga sp011390835, 95.0, 80.85, 0.48; GCA_006227785.1, s__Hydrogenophaga sp006227785, 95.0, 80.7, 0.48; GCA_011390855.1, s__Hydrogenophaga sp011390855, 95.0, 79.78, 0.43; GCF_001761385.1, s__Hydrogenophaga crassostreae, 95.0, 79.01, 0.39; GCF_004795855.1, s__Hydrogenophaga sp004795855, 95.0, 78.98, 0.39; GCA_011391745.1, s__Hydrogenophaga sp011391745, 95.0, 78.71, 0.38	76.51	11	0.9921508877534567	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S1C1120	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Nordella;s__	N/A	N/A	N/A	N/A	N/A	GCF_005502925.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Nordella;s__Nordella sp005502925	92.08	0.91	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Nordella;s__	taxonomic classification defined by topology and ANI	N/A	GCF_011046735.1, s__Nordella sp011046735, 95.0, 84.61, 0.77; GCF_003576695.1, s__Nordella sp003576695, 95.0, 83.33, 0.65; GCF_003574785.1, s__Nordella sp003574785, 95.0, 82.71, 0.7; GCA_005884715.1, s__Nordella sp005884715, 95.0, 81.31, 0.42	41.85	11	0.9950502019599923	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S1C11201	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__JABFRO01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	96.41	11	0.8544056982631351	N/A
S1C1150	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea	GCF_900167395.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea	95.86	0.88	GCF_900167395.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea	95.86	0.88	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_009833125.1, s__Nitrosomonas sp009833125, 95.0, 80.49, 0.55; GCF_003201195.1, s__Nitrosomonas eutropha, 95.0, 79.51, 0.53; GCF_900116685.1, s__Nitrosomonas eutropha_A, 95.0, 79.36, 0.54; GCA_014584635.1, s__Nitrosomonas eutropha_B, 95.0, 78.73, 0.51; GCF_900107165.1, s__Nitrosomonas halophila, 95.0, 76.83, 0.16	70.44	11	N/A	N/A
S1C1169	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__JACTMJ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_014584705.1	95.0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__JACTMJ01;s__JACTMJ01 sp014584705	81.83	0.81	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	72.15	11	0.9733258238199092	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S1C117	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Terricaulis;s__	N/A	N/A	N/A	N/A	N/A	GCF_004634425.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Terricaulis;s__Terricaulis sp004634425	83.0	0.7	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Terricaulis;s__	taxonomic classification defined by topology and ANI	N/A	GCA_900696695.1, s__Terricaulis sp900696695, 95.0, 80.18, 0.52; GCA_001464425.1, s__Terricaulis sp001464425, 95.0, 79.74, 0.52; GCA_003242075.1, s__Terricaulis sp003242075, 95.0, 79.64, 0.49; GCF_009792355.1, s__Terricaulis silvestris, 95.0, 79.4, 0.51; GCA_014378995.1, s__Terricaulis sp014378995, 95.0, 79.4, 0.48; GCA_002083515.1, s__Terricaulis sp002083515, 95.0, 79.38, 0.49; GCF_001679665.1, s__Terricaulis sp001679665, 95.0, 78.9, 0.46; GCF_000974665.1, s__Terricaulis sp000974665, 95.0, 78.85, 0.43; GCA_902826145.1, s__Terricaulis sp902826145, 95.0, 78.83, 0.45; GCA_003526465.1, s__Terricaulis sp003526465, 95.0, 78.6, 0.4; GCA_011332235.1, s__Terricaulis sp011332235, 95.0, 78.12, 0.4; GCA_902826245.1, s__Terricaulis sp902826245, 95.0, 77.93, 0.33; GCA_002343395.1, s__Terricaulis sp002343395, 95.0, 77.71, 0.34; GCA_902826035.1, s__Terricaulis sp902826035, 95.0, 77.69, 0.35	83.38	11	0.9746889966598878	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
